Time,Channel A,Channel B
(s),(mV),(V)

3.16036097,-41.38920000,2.16040500
3.16067397,-41.38920000,2.16040500
3.16098697,-43.15928000,2.16040500
3.16129997,-43.15928000,2.16040500
3.16161297,-43.15928000,2.16040500
3.16192597,-43.15928000,2.16040500
3.16223897,-43.15928000,2.16040500
3.16255197,-43.15928000,2.16040500
3.16286497,-43.15928000,2.16040500
3.16317797,-43.15928000,2.16040500
3.16349097,-41.38920000,2.16040500
3.16380397,-41.38920000,2.16040500
3.16411697,-41.38920000,2.16040500
3.16442997,-43.15928000,2.16040500
3.16474297,-43.15928000,2.16040500
3.16505597,-41.38920000,2.16040500
3.16536897,-41.38920000,2.16040500
3.16568197,-41.38920000,2.16040500
3.16599497,-41.38920000,2.16040500
3.16630797,-41.38920000,2.16040500
3.16662097,-41.38920000,2.16040500
3.16693397,-43.15928000,2.16040500
3.16724697,-41.38920000,2.16040500
3.16755997,-41.38920000,2.16040500
3.16787297,-41.38920000,2.16040500
3.16818597,-41.38920000,2.16040500
3.16849897,-41.38920000,2.16040500
3.16881197,-41.38920000,2.16040500
3.16912497,-41.38920000,2.16040500
3.16943797,-41.38920000,2.16040500
3.16975097,-41.38920000,2.16040500
3.17006397,-41.38920000,2.16040500
3.17037697,-41.38920000,2.16040500
3.17068997,-39.61303000,2.16040500
3.17100297,-41.38920000,2.16040500
3.17131597,-43.15928000,2.16040500
3.17162897,-43.15928000,2.16040500
3.17194197,-41.38920000,2.16040500
3.17225497,-41.38920000,2.16040500
3.17256797,-41.38920000,2.16040500
3.17288097,-41.38920000,2.16040500
3.17319397,-41.38920000,2.16040500
3.17350697,-43.15928000,2.16040500
3.17381997,-43.15928000,2.16040500
3.17413297,-41.38920000,2.16040500
3.17444597,-41.38920000,2.16040500
3.17475897,-41.38920000,2.16040500
3.17507197,-43.15928000,2.16040500
3.17538497,-41.38920000,2.16040500
3.17569797,-41.38920000,2.16040500
3.17601097,-43.15928000,2.16040500
3.17632397,-41.38920000,2.16040500
3.17663697,-41.38920000,2.16040500
3.17694997,-41.38920000,2.16040500
3.17726297,-41.38920000,2.16040500
3.17757597,-43.15928000,2.16040500
3.17788897,-41.38920000,2.16040500
3.17820197,-41.38920000,2.16040500
3.17851497,-43.15928000,2.16040500
3.17882797,-43.15928000,2.16040500
3.17914097,-43.15928000,2.16040500
3.17945397,-43.15928000,2.16040500
3.17976697,-41.38920000,2.16040500
3.18007997,-43.15928000,2.16040500
3.18039297,-41.38920000,2.16040500
3.18070597,-43.15928000,2.16040500
3.18101897,-41.38920000,2.16040500
3.18133197,-41.38920000,2.16040500
3.18164497,-41.38920000,2.16040500
3.18195797,-43.15928000,2.16040500
3.18227097,-41.38920000,2.16040500
3.18258397,-43.15928000,2.16040500
3.18289697,-43.15928000,2.16040500
3.18320997,-43.15928000,2.16040500
3.18352297,-43.15928000,2.16040500
3.18383597,-41.38920000,2.16040500
3.18414897,-41.38920000,2.16040500
3.18446197,-43.15928000,2.16040500
3.18477497,-41.38920000,2.16040500
3.18508797,-41.38920000,2.16040500
3.18540097,-43.15928000,2.16040500
3.18571397,-43.15928000,2.16040500
3.18602697,-39.61303000,2.16040500
3.18633997,-41.38920000,2.16040500
3.18665297,-41.38920000,2.16040500
3.18696597,-41.38920000,2.16040500
3.18727897,-41.38920000,2.16040500
3.18759197,-41.38920000,2.16040500
3.18790497,-41.38920000,2.16040500
3.18821797,-43.15928000,2.16040500
3.18853097,-43.15928000,2.16040500
3.18884397,-41.38920000,2.16040500
3.18915697,-41.38920000,2.16040500
3.18946997,-41.38920000,2.16040500
3.18978297,-41.38920000,2.16040500
3.19009597,-41.38920000,2.16040500
3.19040897,-41.38920000,2.16040500
3.19072197,-43.15928000,2.16040500
3.19103497,-41.38920000,2.16040500
3.19134797,-41.38920000,2.16040500
3.19166097,-41.38920000,2.16040500
3.19197397,-43.15928000,2.16040500
3.19228697,-41.38920000,2.16040500
3.19259997,-41.38920000,2.16040500
3.19291297,-43.15928000,2.16040500
3.19322597,-41.38920000,2.16040500
3.19353897,-41.38920000,2.16040500
3.19385197,-41.38920000,2.16040500
3.19416497,-41.38920000,2.16040500
3.19447797,-43.15928000,2.16040500
3.19479097,-41.38920000,2.16040500
3.19510397,-43.15928000,2.16040500
3.19541697,-43.15928000,2.16040500
3.19572997,-41.38920000,2.16040500
3.19604297,-41.38920000,2.16040500
3.19635597,-39.61303000,2.16040500
3.19666897,-43.15928000,2.16040500
3.19698197,-41.38920000,2.16040500
3.19729497,-41.38920000,2.16040500
3.19760797,-43.15928000,2.16040500
3.19792097,-41.38920000,2.16040500
